nFID, R100, R200, R300, R400, R500, R600, R700, R800, R900, R1000, R1100, R1200, R1300, R1400, R1500, R1600, R1700, R1800, R1900, R2000, R2100, R2200, R2300, R2400, R2500, R2600, R2700, R2800, R2900, R3000, R3100, R3200, R3300, R3400, R3500, R3600, R3700, R3800, R3900, R4000, R4100, R4200, R4300, R4400, R4500, R4600, R4700, R4800, R4900, R5000, R5100, R5200, R5300, R5400, R5500, R5600, R5700, R5800, R5900, R6000, R6100, R6200, R6300, R6400, R6500, R6600, R6700, R6800, R6900, R7000, R7100, R7200, R7300, R7400, R7500, R7600, R7700, R7800, R7900, R8000, R8100, R8200, R8300, R8400, R8500, R8600, R8700, R8800, R8900, R9000, R9100, R9200, R9300, R9400, R9500, R9600, R9700, R9800, R9900, R10000
5838,0.001478,0.003132,0.003561,0.004785,0.004909,0.004139,0.008264,0.010356,0.01444,0.017174,0.015567,0.01821,0.021574,0.023309,0.020841,0.020843,0.027238,0.02889,0.030185,0.031659,0.024985,0.028239,0.027165,0.027385,0.028161,0.029176,0.024462,0.017647,0.020175,0.017246,0.016652,0.018498,0.01548,0.013896,0.013249,0.018335,0.017281,0.018769,0.016123,0.02316,0.019771,0.017688,0.016584,0.011958,0.015517,0.01442,0.014243,0.01756,0.020852,0.014717,0.011301,0.011166,0.008545,0.017897,0.006682,0.009982,0.007223,0.003959,0.012279,0.005438,0.005149,0.002974,0.003087,0.002288,0.004288,0.006365,0.005032,0.00704,0.005399,0.00756,0.004972,0.005541,0.004473,0.012923,0.004699,0.000457,0.000145,0.000019,0.000123,0.000062,0.000086,0.000199,0.000429,0,0,0,0.000133,0.000575,0.000179,0.000094,0.000163,0,0,0,0,0,0,0,0,0
5644,0.001577,0.003262,0.007532,0.01239,0.016006,0.014648,0.015924,0.021217,0.024636,0.036352,0.027716,0.023416,0.032173,0.026212,0.024357,0.023649,0.025918,0.028103,0.02989,0.029171,0.027137,0.03177,0.032042,0.034866,0.029848,0.027807,0.024947,0.029165,0.026024,0.026436,0.029104,0.02983,0.023302,0.021021,0.022104,0.021278,0.01345,0.014512,0.008886,0.0131,0.00631,0.005903,0.007411,0.006026,0.007696,0.005815,0.006679,0.007065,0.008625,0.009728,0.007393,0.00867,0.002172,0.003811,0.004623,0.009687,0.002843,0.00184,0.000707,0.001077,0.00021,0.000131,0.000018,0.000007,0.000063,0.00003,0.000278,0.000218,0,0,0,0.000086,0.000303,0.000093,0.000072,0.000051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6734,0.001617,0.005703,0.008173,0.011184,0.010576,0.018174,0.01994,0.026465,0.027828,0.027864,0.032908,0.029169,0.021429,0.024925,0.028646,0.024492,0.024768,0.027096,0.026125,0.018601,0.022101,0.01909,0.01812,0.018088,0.017354,0.019348,0.011814,0.016287,0.01284,0.020413,0.019319,0.021638,0.027503,0.01654,0.015115,0.012192,0.010844,0.009295,0.024316,0.011741,0.015648,0.010724,0.013656,0.008197,0.008296,0.010078,0.009983,0.012352,0.017036,0.012537,0.015831,0.018161,0.017442,0.016236,0.007227,0.021717,0.010017,0.006553,0.0038,0.00183,0.00221,0.004001,0.003358,0.004744,0.007745,0.017044,0.005719,0.005994,0.001556,0.001916,0.000719,0.00156,0.000553,0.00039,0,0,0.000028,0.0004,0.000132,0.000055,0.00009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4088,0.000949,0.001408,0.004338,0.00728,0.012301,0.013746,0.016791,0.019482,0.026318,0.036,0.023929,0.029894,0.024391,0.027911,0.027659,0.028794,0.028767,0.03483,0.036976,0.028452,0.025131,0.024901,0.026099,0.024796,0.034867,0.038341,0.032032,0.023388,0.033426,0.035812,0.036909,0.024629,0.020463,0.022056,0.023208,0.015882,0.013262,0.007677,0.009663,0.010856,0.014222,0.015365,0.015539,0.010175,0.007232,0.004866,0.005044,0.005656,0.003614,0.004159,0.003315,0.004905,0.00204,0.003241,0.003283,0.003426,0.001981,0.001285,0.000273,0.000083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9202,0.00129,0.005645,0.008696,0.008464,0.016012,0.020209,0.024196,0.023429,0.020196,0.022589,0.027742,0.026481,0.025772,0.025171,0.024779,0.022859,0.022174,0.022288,0.020219,0.025383,0.022352,0.01793,0.018335,0.018607,0.01752,0.015562,0.021198,0.015458,0.013789,0.014632,0.009594,0.019804,0.017277,0.018802,0.024726,0.017107,0.01458,0.013284,0.009901,0.010259,0.024771,0.012921,0.015451,0.010207,0.016309,0.007233,0.008133,0.010204,0.009908,0.012001,0.017583,0.012368,0.01512,0.018833,0.020051,0.014086,0.007638,0.023618,0.009261,0.006531,0.004424,0.001907,0.002319,0.002998,0.004015,0.005076,0.007258,0.010298,0.014099,0.006199,0.002445,0.001756,0.001066,0.00164,0.000552,0.000444,0,0,0.00003,0.000428,0.000142,0.000059,0.000098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,0.001109,0.003916,0.004954,0.005682,0.006665,0.007139,0.011691,0.008413,0.00776,0.008092,0.008046,0.006202,0.005843,0.017194,0.010023,0.018133,0.017806,0.015071,0.011612,0.012692,0.011177,0.015211,0.023542,0.017532,0.019177,0.015589,0.013998,0.018311,0.023487,0.017408,0.021998,0.024443,0.020547,0.026384,0.023758,0.024255,0.029179,0.017296,0.020709,0.029937,0.023315,0.016314,0.017315,0.017189,0.020721,0.015673,0.01778,0.011405,0.010867,0.014472,0.013332,0.015198,0.015464,0.017272,0.021134,0.014037,0.015861,0.014372,0.012196,0.010588,0.012576,0.012274,0.013658,0.01095,0.012613,0.013178,0.008312,0.004024,0.008663,0.014409,0.008721,0.0075,0.006558,0.004853,0.005774,0.005612,0.006389,0.007375,0.003041,0.006343,0.006483,0.007137,0.007498,0.004531,0.005596,0.00554,0.002742,0.000174,0,0,0,0,0,0,0,0,0,0,0,0
5350,0.000727,0.001055,0.00095,0.000853,0.005053,0.008749,0.003598,0.003999,0.003185,0.002826,0.002523,0.002618,0.002609,0.002393,0.001205,0.003173,0.00533,0.00492,0.007706,0.008475,0.007579,0.005587,0.007326,0.013534,0.008492,0.006729,0.008714,0.008855,0.012771,0.013812,0.017132,0.010491,0.011366,0.018809,0.013347,0.010215,0.013948,0.015143,0.014353,0.0204,0.015706,0.021742,0.018289,0.030496,0.022222,0.027022,0.026995,0.026042,0.019047,0.028009,0.029654,0.031384,0.030927,0.030829,0.030168,0.030632,0.027394,0.021673,0.024864,0.020218,0.021011,0.021584,0.022327,0.0179,0.020651,0.020818,0.019601,0.021397,0.019161,0.01683,0.01392,0.010456,0.011902,0.009629,0.010284,0.013054,0.010959,0.016076,0.013291,0.011169,0.009,0.010002,0.008971,0.006079,0.005734,0.008276,0.005651,0.006852,0.005936,0.005925,0.004267,0.004474,0.003078,0,0,0,0,0,0,0
8860,0.001316,0.006223,0.007154,0.008003,0.008999,0.009593,0.014481,0.019489,0.015167,0.018497,0.020554,0.025833,0.025365,0.036243,0.02961,0.024979,0.02555,0.030503,0.028688,0.033704,0.036784,0.035564,0.031755,0.044882,0.033034,0.027072,0.037299,0.024312,0.027725,0.020001,0.021319,0.02167,0.022289,0.021955,0.018553,0.018687,0.015364,0.017009,0.014816,0.012212,0.013625,0.013512,0.009289,0.005839,0.00682,0.004901,0.00653,0.010362,0.006375,0.006451,0.005825,0.005311,0.00377,0.005417,0.003426,0.002527,0.003648,0.004532,0.003673,0.002479,0.003794,0.003473,0.003926,0.001275,0.000561,0.000059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7100,0.001078,0.001519,0.00285,0.003088,0.005439,0.008351,0.012093,0.013271,0.015971,0.013223,0.01311,0.014556,0.01784,0.022905,0.017128,0.02144,0.020942,0.019707,0.024646,0.026828,0.019142,0.022255,0.024386,0.025111,0.01909,0.020056,0.020228,0.022066,0.019652,0.01596,0.016833,0.018432,0.014878,0.011955,0.01504,0.017021,0.012012,0.02106,0.028866,0.020144,0.024878,0.022232,0.015797,0.013724,0.005461,0.00937,0.0069,0.023203,0.007366,0.011355,0.007331,0.010824,0.00991,0.008462,0.012517,0.013425,0.01812,0.018836,0.018499,0.020667,0.021512,0.016774,0.025713,0.0039,0.015568,0.007488,0.005373,0.004687,0.003597,0.011573,0.008371,0.010557,0.00414,0.001101,0.001519,0.00143,0.000277,0.002492,0.002534,0.00029,0.002201,0.000413,0.000036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7564,0.000369,0.001145,0.001477,0.003934,0.005613,0.00689,0.005157,0.008456,0.008796,0.011806,0.02175,0.021294,0.018431,0.018143,0.018619,0.024704,0.021694,0.030277,0.023846,0.022722,0.029515,0.029013,0.031378,0.03106,0.023771,0.021785,0.024091,0.023782,0.022707,0.029253,0.033052,0.02272,0.017243,0.015132,0.01669,0.014118,0.013358,0.019637,0.013108,0.018016,0.016576,0.013192,0.01214,0.012683,0.015393,0.021411,0.017471,0.0155,0.014642,0.010875,0.0111,0.009427,0.011879,0.011806,0.013252,0.010328,0.0092,0.0088,0.006693,0.005556,0.006181,0.013138,0.007375,0.006347,0.006426,0.006225,0.004615,0.005608,0.004637,0.00288,0.00446,0.005232,0.004475,0.00369,0.005279,0.004741,0.005052,0.002266,0.000533,0.000085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1233,0.000993,0.002926,0.005128,0.009766,0.008964,0.01417,0.01244,0.017157,0.017814,0.021318,0.024507,0.019168,0.02301,0.02296,0.026714,0.02674,0.033904,0.040956,0.043327,0.043576,0.042026,0.045317,0.039042,0.032419,0.027054,0.026473,0.024198,0.021892,0.01625,0.014678,0.015203,0.017221,0.026016,0.021215,0.021047,0.018134,0.014243,0.012245,0.01465,0.018486,0.01497,0.012108,0.01075,0.008325,0.009196,0.004989,0.005157,0.006397,0.010483,0.006365,0.006152,0.005415,0.003619,0.004461,0.004838,0.003686,0.00297,0.003159,0.004472,0.003584,0.003568,0.003417,0.003493,0.003624,0.001855,0.000221,0.000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4485,0.000888,0.002477,0.00414,0.007632,0.009785,0.013216,0.014024,0.018209,0.015033,0.021613,0.024581,0.02354,0.024337,0.016716,0.018944,0.027702,0.02282,0.01705,0.023902,0.02696,0.031813,0.026824,0.031184,0.025864,0.033051,0.035379,0.028185,0.028208,0.030419,0.034544,0.043662,0.035726,0.031854,0.028611,0.028153,0.02867,0.019738,0.02649,0.021979,0.017603,0.010222,0.009348,0.00863,0.005618,0.012667,0.007946,0.006904,0.005846,0.003835,0.004165,0.006362,0.004464,0.003616,0.002493,0.002658,0.003239,0.003365,0.002496,0.001072,0.001173,0.000209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4026,0.000588,0.001433,0.004377,0.007563,0.011927,0.015846,0.01672,0.019829,0.026881,0.033308,0.027162,0.024454,0.027195,0.027619,0.031487,0.031577,0.031786,0.037074,0.031447,0.026105,0.02379,0.025107,0.022824,0.033562,0.036437,0.034179,0.030232,0.033328,0.033962,0.039869,0.025913,0.020577,0.019796,0.023077,0.01771,0.013832,0.013158,0.010094,0.008603,0.013268,0.013348,0.01501,0.014651,0.007187,0.008765,0.006645,0.005112,0.006255,0.00323,0.002405,0.003973,0.004256,0.003797,0.001763,0.003863,0.002901,0.003933,0.001587,0.000844,0.000128,0.000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3392,0.001679,0.004883,0.00774,0.017572,0.020045,0.018631,0.019232,0.02228,0.029329,0.027884,0.026925,0.034482,0.030142,0.034732,0.036385,0.029472,0.027852,0.028071,0.031332,0.036979,0.039899,0.028105,0.026168,0.022933,0.0198,0.025012,0.024554,0.026741,0.021462,0.022062,0.023471,0.017256,0.018482,0.027231,0.022972,0.020407,0.009425,0.016128,0.017345,0.008724,0.00745,0.006363,0.005927,0.0045,0.009018,0.006413,0.008349,0.007293,0.006592,0.009663,0.005579,0.005414,0.008756,0.004398,0.001482,0.000387,0.000038,0.000013,0.000064,0.000027,0.00003,0.000275,0.000151,0,0,0,0.000098,0.000251,0.000083,0.000063,0.000045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3035,0.001064,0.004201,0.005331,0.008115,0.011819,0.016534,0.024314,0.026419,0.023807,0.033609,0.025252,0.019464,0.02291,0.028955,0.028547,0.039749,0.030563,0.029121,0.032195,0.031462,0.031526,0.02875,0.028675,0.027111,0.027769,0.033968,0.034199,0.030604,0.028267,0.030599,0.023893,0.021769,0.023311,0.020222,0.018505,0.01765,0.007331,0.008955,0.013961,0.009762,0.007611,0.006834,0.004524,0.007248,0.007972,0.009121,0.009452,0.010234,0.006088,0.005945,0.006484,0.008109,0.012911,0.004007,0.003122,0.002162,0.001083,0.000261,0.000039,0.000013,0.000033,0.000033,0.000138,0.000316,0.000041,0,0,0,0.000206,0.000239,0.000009,0.000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6230,0.001511,0.00495,0.005057,0.009248,0.010667,0.010794,0.008977,0.007338,0.007069,0.00673,0.00719,0.010226,0.01246,0.010725,0.017513,0.015206,0.013668,0.013844,0.020268,0.019759,0.015816,0.015623,0.011573,0.017207,0.019394,0.021605,0.012743,0.024109,0.023379,0.025015,0.023444,0.026783,0.030279,0.027689,0.023377,0.02867,0.033223,0.034557,0.026218,0.023015,0.028445,0.026841,0.014687,0.01046,0.016564,0.015463,0.016007,0.022085,0.017054,0.01432,0.014554,0.021176,0.024288,0.010769,0.013275,0.013788,0.010476,0.008349,0.012753,0.008038,0.008057,0.00665,0.004923,0.003542,0.003422,0.003499,0.005059,0.005336,0.005443,0.004628,0.006032,0.005045,0.004931,0.00571,0.00378,0.001972,0.001222,0.001484,0.001088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4790,0.000654,0.002699,0.003631,0.005269,0.006222,0.003097,0.004563,0.008104,0.015574,0.018305,0.019993,0.015525,0.014868,0.014825,0.014482,0.01491,0.010418,0.018176,0.013313,0.021927,0.01691,0.027234,0.019477,0.02915,0.030162,0.025529,0.021408,0.025994,0.023882,0.026324,0.02523,0.033578,0.027514,0.033064,0.029788,0.032706,0.024431,0.023739,0.018118,0.023039,0.025577,0.021691,0.015931,0.014075,0.013362,0.015571,0.015173,0.01581,0.014105,0.014101,0.011733,0.011865,0.010197,0.008046,0.005969,0.006554,0.008095,0.007169,0.005019,0.013993,0.009202,0.006882,0.005587,0.003624,0.004252,0.004323,0.005842,0.003595,0.003197,0.003521,0.003967,0.003629,0.003456,0.001616,0.001577,0.000283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6871,0.003546,0.010572,0.006237,0.012948,0.015241,0.021692,0.024196,0.030164,0.026477,0.029947,0.026084,0.025471,0.027857,0.032567,0.035814,0.037154,0.036185,0.036915,0.034041,0.02335,0.023018,0.026706,0.026423,0.023132,0.031585,0.018298,0.022525,0.017836,0.019156,0.024824,0.016976,0.017017,0.012202,0.015357,0.018952,0.015998,0.017743,0.022267,0.01862,0.017844,0.010459,0.015422,0.019277,0.007554,0.005804,0.004477,0.005552,0.003768,0.002736,0.003567,0.003108,0.005308,0.007244,0.005461,0.010906,0.005526,0.002939,0.001467,0.000339,0.00014,0.000076,0.000041,0.000055,0.000233,0.00015,0,0,0,0.000192,0.000254,0.000009,0.000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4049,0.000905,0.002411,0.005085,0.007119,0.013835,0.010931,0.011498,0.014965,0.018904,0.021654,0.0233,0.027114,0.024367,0.027423,0.027669,0.026062,0.032159,0.03047,0.031151,0.036713,0.038518,0.04396,0.04343,0.037274,0.031011,0.026516,0.019881,0.01776,0.016421,0.018878,0.022943,0.026039,0.011168,0.011267,0.009145,0.014033,0.014542,0.015347,0.019779,0.01283,0.02087,0.021791,0.02277,0.026243,0.015347,0.007735,0.008402,0.010835,0.005128,0.003579,0.005182,0.011983,0.00808,0.00606,0.002727,0.001095,0.000281,0.000222,0.001282,0.001212,0.001666,0.001594,0.00032,0.000397,0.000103,0.000038,0.000062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9080,0.000502,0.002417,0.002831,0.00229,0.00627,0.005259,0.00633,0.010171,0.008547,0.00849,0.008219,0.007169,0.009095,0.009466,0.010167,0.011963,0.011409,0.009302,0.011813,0.012282,0.008634,0.010015,0.010095,0.010855,0.014295,0.016861,0.013737,0.01044,0.013359,0.013707,0.016264,0.018489,0.015855,0.013552,0.014515,0.012554,0.014876,0.023129,0.021372,0.01563,0.014873,0.013877,0.011631,0.018014,0.018251,0.014533,0.016828,0.014616,0.013622,0.011989,0.015815,0.022537,0.014465,0.018562,0.020306,0.018419,0.016586,0.018632,0.014461,0.017878,0.025145,0.020808,0.015876,0.017667,0.013671,0.015107,0.010739,0.009947,0.012881,0.021076,0.01173,0.020528,0.020442,0.022596,0.028163,0.015849,0.016232,0.023977,0.025931,0.010882,0.00883,0.004219,0.004243,0.006142,0.007665,0.005605,0.009663,0.018946,0.032039,0.017449,0.015307,0.002605,0.002977,0.006186,0.001076,0.001695,0.00006,0.001004,0.002466,0.002328
6963,0.001073,0.003571,0.007606,0.008185,0.014149,0.015755,0.01354,0.020151,0.0145,0.018937,0.028162,0.030691,0.035307,0.041012,0.024949,0.035423,0.032236,0.030326,0.030014,0.040512,0.039921,0.036349,0.031912,0.028276,0.029634,0.03323,0.030424,0.024123,0.034016,0.025622,0.019183,0.013158,0.014,0.01189,0.015067,0.013158,0.013172,0.011399,0.01303,0.014635,0.013696,0.008804,0.008354,0.014095,0.010882,0.014,0.006995,0.004717,0.004228,0.005126,0.004076,0.004275,0.002293,0.003604,0.004112,0.003404,0.004463,0.00321,0.002631,0.002792,0.000485,0.000033,0.000185,0.000214,0.000008,0.000091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1393,0.001297,0.005119,0.006063,0.010145,0.013612,0.010178,0.012377,0.012127,0.01516,0.017233,0.012976,0.01577,0.016016,0.012454,0.015415,0.015853,0.024008,0.021348,0.019043,0.019644,0.025667,0.02423,0.029117,0.032618,0.030262,0.030942,0.021165,0.038165,0.03326,0.034719,0.034704,0.032551,0.036276,0.041661,0.038246,0.035924,0.030691,0.02327,0.021705,0.019488,0.015712,0.011589,0.009537,0.007581,0.00647,0.007309,0.00745,0.006178,0.013747,0.009685,0.00709,0.005124,0.00306,0.004513,0.003653,0.004807,0.003189,0.002844,0.002791,0.003194,0.003022,0.002745,0.001335,0.001229,0.000318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
