nFID, R100, R200, R300, R400, R500, R600, R700, R800, R900, R1000, R1100, R1200, R1300, R1400, R1500, R1600, R1700, R1800, R1900, R2000, R2100, R2200, R2300, R2400, R2500, R2600, R2700, R2800, R2900, R3000, R3100, R3200, R3300, R3400, R3500, R3600, R3700, R3800, R3900, R4000, R4100, R4200, R4300, R4400, R4500, R4600, R4700, R4800, R4900, R5000, R5100, R5200, R5300, R5400, R5500, R5600, R5700, R5800, R5900, R6000, R6100, R6200, R6300, R6400, R6500, R6600, R6700, R6800, R6900, R7000, R7100, R7200, R7300, R7400, R7500, R7600, R7700, R7800, R7900, R8000, R8100, R8200, R8300, R8400, R8500, R8600, R8700, R8800, R8900, R9000, R9100, R9200, R9300, R9400, R9500, R9600, R9700, R9800, R9900, R10000
1149,0.00241,0.007166,0.006396,0.007192,0.009082,0.012752,0.013223,0.016035,0.015354,0.016324,0.017439,0.025389,0.024083,0.026136,0.020401,0.031575,0.030897,0.020755,0.025968,0.030893,0.030619,0.029067,0.024058,0.021193,0.022673,0.019233,0.017117,0.01556,0.014986,0.019761,0.016778,0.028178,0.024625,0.025168,0.023481,0.014746,0.014849,0.009717,0.009297,0.007973,0.019679,0.010041,0.010514,0.00572,0.00853,0.012001,0.007356,0.012471,0.010693,0.016286,0.017646,0.015619,0.018601,0.022565,0.016101,0.023306,0.004689,0.013089,0.005918,0.005805,0.002783,0.00236,0.007367,0.011387,0.009276,0.007222,0.00196,0.001288,0.001413,0.000425,0.001757,0.002026,0.000146,0.002018,0.000441,0.000076,0.000079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0.000945,0.001631,0.006493,0.005037,0.002792,0.005279,0.008993,0.007957,0.008766,0.014416,0.013512,0.011597,0.01192,0.017972,0.016864,0.027973,0.027075,0.023767,0.019787,0.023194,0.028198,0.03076,0.033693,0.026514,0.029891,0.028299,0.0336,0.034541,0.030092,0.032925,0.018998,0.024725,0.030007,0.024893,0.021395,0.024524,0.028269,0.031148,0.021883,0.025125,0.018931,0.018471,0.017257,0.01256,0.014752,0.012501,0.014993,0.010921,0.010197,0.009758,0.005166,0.004161,0.004384,0.006935,0.00814,0.00811,0.005846,0.016718,0.00587,0.005069,0.0049,0.004045,0.001869,0.003127,0.000895,0.001095,0.000843,0.000241,0.000019,0.00013,0.00025,0.000198,0.000067,0,0,0.000089,0.000446,0,0.000081,0.000058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1859,0.000126,0.00031,0.00173,0.004377,0.007017,0.007176,0.007656,0.006212,0.007538,0.008527,0.012612,0.01243,0.012968,0.019032,0.018866,0.018001,0.021696,0.021443,0.024701,0.040478,0.030469,0.029156,0.032032,0.024088,0.025157,0.028258,0.03297,0.031062,0.035426,0.034939,0.031593,0.023922,0.031212,0.031379,0.030706,0.02716,0.031477,0.025844,0.022885,0.017551,0.02095,0.016116,0.023016,0.018645,0.010616,0.007249,0.005636,0.005623,0.006656,0.00838,0.007057,0.008378,0.008093,0.008501,0.009497,0.005702,0.003484,0.005168,0.005154,0.004509,0.004833,0.008419,0.004854,0.001366,0.001108,0.000669,0.000991,0.000638,0.00014,0.000253,0.000004,0.000016,0.000082,0.000099,0.000421,0.000106,0,0,0,0.000161,0.000451,0.000013,0.000147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6655,0.001707,0.004034,0.007893,0.011634,0.013078,0.016392,0.02612,0.023569,0.029696,0.030687,0.029677,0.032439,0.037195,0.026256,0.026601,0.027529,0.023091,0.021803,0.027845,0.023046,0.017955,0.017433,0.021473,0.015518,0.015748,0.016361,0.012207,0.022486,0.018042,0.021016,0.02733,0.018756,0.01681,0.01327,0.013635,0.013179,0.022195,0.012761,0.015342,0.014453,0.013084,0.008028,0.008134,0.0098,0.010066,0.011698,0.016366,0.012445,0.015705,0.017204,0.020352,0.011756,0.00691,0.020896,0.007648,0.007933,0.004,0.002272,0.002547,0.002624,0.003607,0.004683,0.005059,0.006617,0.018161,0.005044,0.004707,0.001359,0.000521,0.00153,0.000427,0.000321,0.000166,0.000018,0,0,0.000234,0.000208,0.00012,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6028,0.001995,0.005071,0.007561,0.005781,0.005187,0.008356,0.010691,0.011869,0.018896,0.018098,0.022341,0.021493,0.016081,0.022949,0.029553,0.029716,0.021462,0.026512,0.027365,0.025712,0.027245,0.031585,0.026484,0.0251,0.02979,0.031178,0.032233,0.029926,0.028025,0.029776,0.028094,0.025177,0.022634,0.023139,0.016897,0.015293,0.017958,0.022568,0.019485,0.01965,0.016971,0.022222,0.022066,0.011679,0.010658,0.008367,0.008246,0.007805,0.012375,0.003652,0.003229,0.00351,0.002914,0.003992,0.00364,0.002984,0.003596,0.005118,0.00528,0.007373,0.005843,0.002295,0.002212,0.002885,0.005554,0.009706,0.004083,0.001142,0.000885,0.000353,0.000048,0.000016,0.000082,0.000035,0.000039,0.000375,0.000197,0,0,0,0.000142,0.000496,0,0.000126,0.000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6698,0.002373,0.005157,0.011833,0.012554,0.022415,0.018024,0.021978,0.026321,0.025166,0.031637,0.030318,0.034054,0.03381,0.034903,0.035509,0.028542,0.026004,0.026838,0.02986,0.022467,0.030439,0.025126,0.026558,0.01989,0.015016,0.021237,0.0192,0.032878,0.01443,0.020564,0.015956,0.021067,0.013565,0.019324,0.012884,0.015072,0.012951,0.018145,0.016515,0.01534,0.018873,0.020147,0.014328,0.009372,0.013894,0.014782,0.004474,0.004282,0.002676,0.003756,0.004393,0.002645,0.00331,0.002942,0.005156,0.005003,0.007079,0.006471,0.010785,0.005739,0.00197,0.000269,0.000266,0.000086,0.000043,0.000058,0.000221,0.000183,0,0,0,0.000108,0.00028,0.000093,0.000072,0.000051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0.001727,0.006376,0.008906,0.008605,0.013464,0.013012,0.015472,0.019126,0.022046,0.018522,0.027103,0.027182,0.020285,0.022276,0.023987,0.018441,0.02152,0.01826,0.023789,0.024089,0.025856,0.016943,0.01856,0.017227,0.018279,0.019926,0.018514,0.017996,0.014129,0.01511,0.012566,0.013056,0.017853,0.021619,0.010633,0.014072,0.013693,0.012582,0.012113,0.015113,0.01571,0.015377,0.02073,0.018775,0.016706,0.018014,0.013752,0.01321,0.012073,0.008774,0.010011,0.01631,0.008952,0.016063,0.01474,0.015923,0.016981,0.012428,0.011592,0.016192,0.007166,0.013623,0.005687,0.005419,0.006094,0.003407,0.003228,0.002771,0.002661,0.006068,0.006675,0.011817,0.017573,0.004911,0.005644,0.001919,0.000517,0.000261,0.00008,0.000184,0.000332,0.000065,0,0,0.000267,0.000353,0.000157,0.000158,0.000056,0,0,0,0,0,0,0,0,0,0,0
3510,0.001446,0.004159,0.006905,0.015204,0.011156,0.015354,0.016021,0.016942,0.020844,0.020872,0.021267,0.02252,0.022448,0.021135,0.022474,0.024652,0.021125,0.028126,0.032514,0.020806,0.019962,0.021385,0.022044,0.020576,0.019631,0.021773,0.017718,0.016065,0.014308,0.016815,0.008344,0.012244,0.017169,0.023628,0.018421,0.025243,0.024272,0.020552,0.010078,0.011087,0.008409,0.009933,0.022195,0.005858,0.015229,0.009321,0.008275,0.011215,0.010715,0.007254,0.010555,0.014703,0.020067,0.016088,0.01872,0.019027,0.017513,0.016667,0.012854,0.014764,0.006825,0.004845,0.002618,0.002275,0.003529,0.007312,0.007234,0.014984,0.007775,0.003531,0.002056,0.000552,0.00162,0.002604,0,0.001704,0.000588,0.000403,0.000132,0.000055,0.00009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8297,0.000045,0.000042,0.000024,0.000025,0.000016,0.000141,0.000045,0.000029,0.00031,0.000331,0.001037,0.000268,0.000167,0.00061,0.000554,0.000917,0.001367,0.002026,0.002009,0.002046,0.00053,0.00259,0.007906,0.002217,0.00336,0.001712,0.000435,0.001085,0.002357,0.003338,0.004287,0.005466,0.005156,0.006097,0.007416,0.008407,0.010488,0.011206,0.014551,0.014682,0.008593,0.00716,0.005549,0.015226,0.014285,0.0117,0.012538,0.011563,0.014867,0.01398,0.015055,0.014815,0.018479,0.022758,0.017272,0.027403,0.030541,0.029808,0.026627,0.029632,0.029871,0.039364,0.029716,0.045646,0.038736,0.044077,0.041511,0.040388,0.048182,0.041188,0.04768,0.038171,0.0479,0.042682,0.03673,0.036965,0.035556,0.025996,0.022549,0.021469,0.021309,0.014971,0.019039,0.016286,0.019796,0.014751,0.020627,0.016657,0.012835,0.011406,0.010479,0.007753,0.00632,0.005843,0.008835,0.00808,0.011353,0.009405,0.002051,0
7352,0.001558,0.005685,0.004577,0.003844,0.006392,0.006844,0.011486,0.011847,0.01314,0.013494,0.019339,0.01966,0.019107,0.022107,0.030163,0.031965,0.025995,0.034466,0.028987,0.030344,0.029605,0.029186,0.030531,0.029325,0.028105,0.032239,0.033035,0.031522,0.030216,0.028848,0.024244,0.018367,0.015152,0.011795,0.010667,0.014881,0.016294,0.01724,0.01372,0.006646,0.005693,0.007927,0.010766,0.012256,0.013899,0.013836,0.017491,0.01776,0.018901,0.018092,0.025034,0.012783,0.007555,0.007752,0.010747,0.007533,0.004532,0.009594,0.005308,0.009367,0.003752,0.001702,0.001256,0.000324,0.000239,0.001333,0.001199,0.002211,0.001731,0.000399,0.000172,0.000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
